Country, New Cases, New Deaths, New Cases Ratio, New Deaths Ratio, Positive Tests Percentage, Population
China, 16, None, 0.01111633134030852, 0, 0, 1439323776 
USA, 43174, 310, 129.82790180050137, 0.9321964505988655, 3.965869310212109, 332547930
India, 275306, 1625, 197.94932790851541, 1.1684004629442786, 17.575782338287812, 1390790274
Brazil, 42937, 1553, 200.86376330229476, 7.265095940761204, 0, 213761802
France, 29344, 140, 448.76292437681, 2.141044486530582, 7.653645419002136, 65388646
Russia, 8632, 389, 59.12961656519222, 2.6646687724582683, 2.8773333333333335, 145984373
UK, 1882, 10, 27.60746086789114, 0.1466921406370411, 0, 68169978
Turkey, 55802, 318, 656.0289313908033, 3.738525504144573, 18.52391590841945, 85060273
Italy, 12694, 251, 210.19733960112413, 4.156257463359237, 5.5163482765214065, 60390869
Spain, None, None, 0, 0, 0, 46769223
Germany, 13123, 65, 156.2309778397257, 0.7738332362708352, 0, 83997426
Argentina, 16267, 64, 357.31582908244206, 1.405803962702176, 25.51166036729765, 45525551
Poland, 12153, 207, 321.3928812574292, 5.47423075950694, 0, 37813532
Colombia, 16871, 397, 328.7802981733878, 7.736694823948489, 24.07666400274004, 51313902
Mexico, 4157, 535, 31.974620166395244, 4.115088234068188, 19.287338189579177, 130009363
Iran, 21644, 405, 255.09559160426238, 4.773318915160149, 19.92249703150744, 84846625
Ukraine, 10282, 250, 236.23875912938044, 5.7439885024649975, 0, 43523764
Peru, 7131, 433, 213.91026891679513, 12.988801912911553, 11.666066812812877, 33336408
Indonesia, 4585, 96, 16.62302183819493, 0.3480501846165132, 11.872394417255755, 275822293
Czechia, 1534, 13, 143.0327035791743, 1.2121415557557145, 1.8489056021598689, 10724820
South Africa, 1089, 25, 18.179538417012267, 0.4173447754135048, 3.465393794749403, 59902511
Netherlands, 8505, 12, 495.48228515381277, 0.6990931712928575, 0, 17165094
Chile, 7370, 122, 382.92258780851375, 6.3387456869251935, 10.122792077576023, 19246710
Canada, 7591, 32, 199.73515292382163, 0.8419872076883537, 7.269192833271089, 38005328
Romania, 2265, 160, 118.36886141175118, 8.361597274119289, 11.663834389000463, 19135100
Iraq, 6188, 33, 151.16130626233348, 0.8061284917028125, 16.474534756795613, 40936402
Belgium, 3787, 37, 325.62898760081856, 3.1814820547214917, 8.7775820508066, 11629800
Philippines, 10098, 150, 91.18739561546838, 1.3545364767597798, 20.168570743788447, 110738989
Sweden, None, None, 0, 0, 0, 10149393
Israel, 165, 4, 17.9394819729951, 0.43489653267866907, 1.4884979702300407, 9197590 
Portugal, 441, 3, 43.35017633495197, 0.29489915874116984, 0, 10172969
Pakistan, 6127, 149, 27.317419953104544, 0.6643211315509348, 8.52914972994042, 224289117
Hungary, 3706, 205, 384.40924876620295, 21.263868320850406, 13.090780642882374, 9640767
Bangladesh, 3698, 102, 22.27795727758904, 0.614481244541396, 19.057926200783342, 165993675
Jordan, 2507, 68, 243.78494258947256, 6.612435618701291, 14.047965930740784, 10283654
Serbia, 2069, 37, 237.56326456705446, 4.2483522421367885, 20.16176183979731, 8709259
Switzerland, None, 3, 0, 0.3446301567010347, 0, 8704984
Austria, 2076, 28, 229.46041874094757, 3.094841871265189, 0.9984225308760725, 9047312
Japan, 4611, 38, 36.54671478996882, 0.3011874131465659, 8.724362370392795, 126167291
